1 | 14,14
2 | 13,13
3 | 12,12
4 | 11,11
5 | 10,10
6 | 9,9
7 | 8,8
8 | 7,7
9 | 13,14
10 | 12,14
11 | 11,14
12 | 13,14
13 | 10,14
14 | 6,6
15 | 12,14
16 | 11,14
17 | 12,13
18 | 10,14
19 | 11,13
20 | 9,14
21 | 10,13
22 | 8,14
23 | 5,5
24 | 12,13
25 | 11,13
26 | 7,14
27 | 9,14
28 | 11,12
29 | 9,13
30 | 10,13
31 | 10,12
32 | 8,14
33 | 5,14
34 | 6,14
35 | 4,14
36 | 7,14
37 | 4,4
38 | 11,12
39 | 8,13
40 | 10,11
41 | 9,13
42 | 9,12
43 | 3,14
44 | 10,12
45 | 7,13
46 | 5,14
47 | 6,14
48 | 2,14
49 | 6,13
50 | 4,14
51 | 8,12
52 | 8,13
53 | 9,11
54 | 10,11
55 | 9,12
56 | 5,13
57 | 3,14
58 | 3,3
59 | 7,13
60 | 2,14
61 | 4,13
62 | 9,10
63 | 7,12
64 | 8,11
65 | 6,13
66 | 3,13
67 | 8,12
68 | 9,11
69 | 6,12
70 | 2,13
71 | 5,13
72 | 8,10
73 | 5,12
74 | 7,11
75 | 4,13
76 | 9,10
77 | 2,2
78 | 7,12
79 | 8,11
80 | 4,12
81 | 8,9
82 | 3,13
83 | 3,12
84 | 7,10
85 | 6,12
86 | 6,11
87 | 2,13
88 | 2,12
89 | 8,10
90 | 5,11
91 | 5,12
92 | 7,11
93 | 7,9
94 | 4,11
95 | 6,10
96 | 4,12
97 | 8,9
98 | 3,11
99 | 7,8
100 | 7,10
101 | 3,12
102 | 6,11
103 | 6,9
104 | 2,11
105 | 5,10
106 | 2,12
107 | 5,11
108 | 4,10
109 | 7,9
110 | 6,8
111 | 4,11
112 | 6,10
113 | 5,9
114 | 3,10
115 | 6,7
116 | 7,8
117 | 3,11
118 | 2,10
119 | 5,8
120 | 6,9
121 | 2,11
122 | 5,10
123 | 4,9
124 | 5,7
125 | 4,10
126 | 3,9
127 | 6,8
128 | 5,6
129 | 4,8
130 | 5,9
131 | 3,10
132 | 2,9
133 | 6,7
134 | 4,7
135 | 2,10
136 | 5,8
137 | 4,5
138 | 4,6
139 | 3,8
140 | 4,9
141 | 5,7
142 | 2,8
143 | 3,7
144 | 3,9
145 | 5,6
146 | 3,5
147 | 4,8
148 | 3,6
149 | 2,9
150 | 3,4
151 | 4,7
152 | 2,7
153 | 4,5
154 | 2,5
155 | 4,6
156 | 2,6
157 | 3,8
158 | 2,8
159 | 2,4
160 | 3,7
161 | 3,5
162 | 2,3
163 | 3,6
164 | 3,4
165 | 2,7
166 | 2,5
167 | 2,6
168 | 2,4
169 | 2,3
